"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","first_yes_date","yeartype","dop","year","ind_phen_year","series_yrs"
1447,42.176537,-85.892448,337,"Pseudacris","crucifer","spring peeper","Animalia",11253,276,"Vocalizing",2011,4,11,101,2455663,NA,"11253_Vocalizing","Calls or songs","MI",2011-04-11,"calendar",101,2011,"11253_Vocalizing_2011",10
5260,42.454987,-72.345177,337,"Pseudacris","crucifer","spring peeper","Animalia",12258,276,"Vocalizing",2011,4,7,97,2455659,NA,"12258_Vocalizing","Calls or songs","MA",2011-04-07,"calendar",97,2011,"12258_Vocalizing_2011",12
5260,42.454987,-72.345177,346,"Lithobates","palustris","pickerel frog","Animalia",12259,276,"Vocalizing",2011,4,15,105,2455667,NA,"12259_Vocalizing","Calls or songs","MA",2011-04-15,"calendar",105,2011,"12259_Vocalizing_2011",11
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,275,"Adults in water",2011,5,16,136,2455698,7,"17986_Adults in water","Adults observed","NY",2011-05-16,"calendar",136,2011,"17986_Adults in water_2011",10
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2011,5,16,136,2455698,7,"17986_Vocalizing","Calls or songs","NY",2011-05-16,"calendar",136,2011,"17986_Vocalizing_2011",15
1447,42.176537,-85.892448,337,"Pseudacris","crucifer","spring peeper","Animalia",11253,276,"Vocalizing",2012,3,17,77,2456004,7,"11253_Vocalizing","Calls or songs","MI",2012-03-17,"calendar",77,2012,"11253_Vocalizing_2012",10
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,275,"Adults in water",2012,4,16,107,2456034,6,"17986_Adults in water","Adults observed","NY",2012-04-16,"calendar",107,2012,"17986_Adults in water_2012",10
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2012,4,16,107,2456034,6,"17986_Vocalizing","Calls or songs","NY",2012-04-16,"calendar",107,2012,"17986_Vocalizing_2012",15
8496,46.328629,-96.061256,421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2012,4,24,115,2456042,2,"25782_Individuals on land (rock/log)","Adults observed","MN",2012-04-24,"calendar",115,2012,"25782_Individuals on land (rock/log)_2012",14
8242,31.596231,-110.575493,423,"Aspidoscelis","tigris","western whiptail","Animalia",29644,355,"Individuals on land (rock/log)",2012,7,26,208,2456135,NA,"29644_Individuals on land (rock/log)","Adults observed","AZ",2012-07-26,"calendar",208,2012,"29644_Individuals on land (rock/log)_2012",9
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,355,"Individuals on land (rock/log)",2012,10,1,275,2456202,29,"29646_Individuals on land (rock/log)","Adults observed","AZ",2012-10-01,"calendar",275,2012,"29646_Individuals on land (rock/log)_2012",10
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,441,"Young individuals (hatched from eggs)",2012,10,1,275,2456202,NA,"29646_Young individuals (hatched from eggs)","Young observed","AZ",2012-10-01,"calendar",275,2012,"29646_Young individuals (hatched from eggs)_2012",10
1447,42.176537,-85.892448,337,"Pseudacris","crucifer","spring peeper","Animalia",11253,276,"Vocalizing",2013,4,9,99,2456392,3,"11253_Vocalizing","Calls or songs","MI",2013-04-09,"calendar",99,2013,"11253_Vocalizing_2013",10
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,275,"Adults in water",2013,4,29,119,2456412,5,"17986_Adults in water","Adults observed","NY",2013-04-29,"calendar",119,2013,"17986_Adults in water_2013",10
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2013,5,6,126,2456419,4,"17986_Vocalizing","Calls or songs","NY",2013-05-06,"calendar",126,2013,"17986_Vocalizing_2013",15
8496,46.328629,-96.061256,421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2013,5,15,135,2456428,2,"25782_Individuals on land (rock/log)","Adults observed","MN",2013-05-15,"calendar",135,2013,"25782_Individuals on land (rock/log)_2013",14
8242,31.596231,-110.575493,423,"Aspidoscelis","tigris","western whiptail","Animalia",29644,355,"Individuals on land (rock/log)",2013,5,5,125,2456418,28,"29644_Individuals on land (rock/log)","Adults observed","AZ",2013-05-05,"calendar",125,2013,"29644_Individuals on land (rock/log)_2013",9
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,355,"Individuals on land (rock/log)",2013,4,7,97,2456390,16,"29646_Individuals on land (rock/log)","Adults observed","AZ",2013-04-07,"calendar",97,2013,"29646_Individuals on land (rock/log)_2013",10
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,441,"Young individuals (hatched from eggs)",2013,4,7,97,2456390,NA,"29646_Young individuals (hatched from eggs)","Young observed","AZ",2013-04-07,"calendar",97,2013,"29646_Young individuals (hatched from eggs)_2013",10
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,274,"Adults on land",2013,5,2,122,2456415,1,"38841_Adults on land","Adults observed","MI",2013-05-02,"calendar",122,2013,"38841_Adults on land_2013",12
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,276,"Vocalizing",2013,4,30,120,2456413,NA,"38841_Vocalizing","Calls or songs","MI",2013-04-30,"calendar",120,2013,"38841_Vocalizing_2013",13
10145,42.602543,-83.250992,307,"Lithobates","clamitans","green frog","Animalia",38902,274,"Adults on land",2013,9,3,246,2456539,NA,"38902_Adults on land","Adults observed","MI",2013-09-03,"calendar",246,2013,"38902_Adults on land_2013",9
6081,34.0312,-118.811821,427,"Sceloporus","occidentalis","western fence lizard","Animalia",39781,355,"Individuals on land (rock/log)",2013,3,18,77,2456370,NA,"39781_Individuals on land (rock/log)","Adults observed","CA",2013-03-18,"calendar",77,2013,"39781_Individuals on land (rock/log)_2013",10
6092,34.115868,-118.758972,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40027,355,"Individuals on land (rock/log)",2013,9,19,262,2456555,NA,"40027_Individuals on land (rock/log)","Adults observed","CA",2013-09-19,"calendar",262,2013,"40027_Individuals on land (rock/log)_2013",12
6093,34.115894,-118.760101,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40042,355,"Individuals on land (rock/log)",2013,5,9,129,2456422,NA,"40042_Individuals on land (rock/log)","Adults observed","CA",2013-05-09,"calendar",129,2013,"40042_Individuals on land (rock/log)_2013",9
6094,34.116138,-118.760071,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40672,355,"Individuals on land (rock/log)",2013,11,7,311,2456604,NA,"40672_Individuals on land (rock/log)","Adults observed","CA",2013-11-07,"calendar",311,2013,"40672_Individuals on land (rock/log)_2013",9
6095,34.116432,-118.759659,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40687,355,"Individuals on land (rock/log)",2013,4,22,112,2456405,NA,"40687_Individuals on land (rock/log)","Adults observed","CA",2013-04-22,"calendar",112,2013,"40687_Individuals on land (rock/log)_2013",11
6097,34.116222,-118.758591,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40704,355,"Individuals on land (rock/log)",2013,5,3,123,2456416,NA,"40704_Individuals on land (rock/log)","Adults observed","CA",2013-05-03,"calendar",123,2013,"40704_Individuals on land (rock/log)_2013",10
6099,34.119007,-118.760071,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40734,355,"Individuals on land (rock/log)",2013,4,12,102,2456395,NA,"40734_Individuals on land (rock/log)","Adults observed","CA",2013-04-12,"calendar",102,2013,"40734_Individuals on land (rock/log)_2013",11
6151,34.039394,-118.814392,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40984,355,"Individuals on land (rock/log)",2013,4,29,119,2456412,NA,"40984_Individuals on land (rock/log)","Adults observed","CA",2013-04-29,"calendar",119,2013,"40984_Individuals on land (rock/log)_2013",10
8496,46.328629,-96.061256,233,"Lithobates","pipiens","northern leopard frog","Animalia",42887,274,"Adults on land",2013,7,27,208,2456501,4,"42887_Adults on land","Adults observed","MN",2013-07-27,"calendar",208,2013,"42887_Adults on land_2013",10
1447,42.176537,-85.892448,337,"Pseudacris","crucifer","spring peeper","Animalia",11253,276,"Vocalizing",2014,4,13,103,2456761,13,"11253_Vocalizing","Calls or songs","MI",2014-04-13,"calendar",103,2014,"11253_Vocalizing_2014",10
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,275,"Adults in water",2014,5,5,125,2456783,5,"17986_Adults in water","Adults observed","NY",2014-05-05,"calendar",125,2014,"17986_Adults in water_2014",10
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2014,5,12,132,2456790,4,"17986_Vocalizing","Calls or songs","NY",2014-05-12,"calendar",132,2014,"17986_Vocalizing_2014",15
8496,46.328629,-96.061256,421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2014,6,2,153,2456811,22,"25782_Individuals on land (rock/log)","Adults observed","MN",2014-06-02,"calendar",153,2014,"25782_Individuals on land (rock/log)_2014",14
8242,31.596231,-110.575493,423,"Aspidoscelis","tigris","western whiptail","Animalia",29644,355,"Individuals on land (rock/log)",2014,6,12,163,2456821,59,"29644_Individuals on land (rock/log)","Adults observed","AZ",2014-06-12,"calendar",163,2014,"29644_Individuals on land (rock/log)_2014",9
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,355,"Individuals on land (rock/log)",2014,3,27,86,2456744,37,"29646_Individuals on land (rock/log)","Adults observed","AZ",2014-03-27,"calendar",86,2014,"29646_Individuals on land (rock/log)_2014",10
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,441,"Young individuals (hatched from eggs)",2014,4,14,104,2456762,18,"29646_Young individuals (hatched from eggs)","Young observed","AZ",2014-04-14,"calendar",104,2014,"29646_Young individuals (hatched from eggs)_2014",10
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,274,"Adults on land",2014,6,9,160,2456818,1,"38841_Adults on land","Adults observed","MI",2014-06-09,"calendar",160,2014,"38841_Adults on land_2014",12
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,276,"Vocalizing",2014,5,8,128,2456786,NA,"38841_Vocalizing","Calls or songs","MI",2014-05-08,"calendar",128,2014,"38841_Vocalizing_2014",13
10145,42.602543,-83.250992,280,"Chrysemys","picta","painted turtle","Animalia",38933,355,"Individuals on land (rock/log)",2014,4,27,117,2456775,NA,"38933_Individuals on land (rock/log)","Adults observed","MI",2014-04-27,"calendar",117,2014,"38933_Individuals on land (rock/log)_2014",9
10145,42.602543,-83.250992,280,"Chrysemys","picta","painted turtle","Animalia",38933,356,"Individuals in water (rock/log)",2014,7,6,187,2456845,40,"38933_Individuals in water (rock/log)","Adults observed","MI",2014-07-06,"calendar",187,2014,"38933_Individuals in water (rock/log)_2014",11
6092,34.115868,-118.758972,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40027,355,"Individuals on land (rock/log)",2014,4,5,95,2456753,NA,"40027_Individuals on land (rock/log)","Adults observed","CA",2014-04-05,"calendar",95,2014,"40027_Individuals on land (rock/log)_2014",12
6093,34.115894,-118.760101,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40042,355,"Individuals on land (rock/log)",2014,5,16,136,2456794,NA,"40042_Individuals on land (rock/log)","Adults observed","CA",2014-05-16,"calendar",136,2014,"40042_Individuals on land (rock/log)_2014",9
6094,34.116138,-118.760071,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40672,355,"Individuals on land (rock/log)",2014,4,5,95,2456753,NA,"40672_Individuals on land (rock/log)","Adults observed","CA",2014-04-05,"calendar",95,2014,"40672_Individuals on land (rock/log)_2014",9
6095,34.116432,-118.759659,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40687,355,"Individuals on land (rock/log)",2014,5,16,136,2456794,NA,"40687_Individuals on land (rock/log)","Adults observed","CA",2014-05-16,"calendar",136,2014,"40687_Individuals on land (rock/log)_2014",11
6097,34.116222,-118.758591,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40704,355,"Individuals on land (rock/log)",2014,3,21,80,2456738,NA,"40704_Individuals on land (rock/log)","Adults observed","CA",2014-03-21,"calendar",80,2014,"40704_Individuals on land (rock/log)_2014",10
6099,34.119007,-118.760071,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40734,355,"Individuals on land (rock/log)",2014,3,14,73,2456731,NA,"40734_Individuals on land (rock/log)","Adults observed","CA",2014-03-14,"calendar",73,2014,"40734_Individuals on land (rock/log)_2014",11
6151,34.039394,-118.814392,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40984,355,"Individuals on land (rock/log)",2014,7,16,197,2456855,NA,"40984_Individuals on land (rock/log)","Adults observed","CA",2014-07-16,"calendar",197,2014,"40984_Individuals on land (rock/log)_2014",10
8496,46.328629,-96.061256,233,"Lithobates","pipiens","northern leopard frog","Animalia",42887,274,"Adults on land",2014,6,2,153,2456811,22,"42887_Adults on land","Adults observed","MN",2014-06-02,"calendar",153,2014,"42887_Adults on land_2014",10
16454,41.667408,-73.895546,337,"Pseudacris","crucifer","spring peeper","Animalia",64466,276,"Vocalizing",2014,4,10,100,2456758,9,"64466_Vocalizing","Calls or songs","NY",2014-04-10,"calendar",100,2014,"64466_Vocalizing_2014",10
17414,42.936153,-73.433449,230,"Anaxyrus","americanus","American toad","Animalia",66938,276,"Vocalizing",2014,5,7,127,2456785,1,"66938_Vocalizing","Calls or songs","NY",2014-05-07,"calendar",127,2014,"66938_Vocalizing_2014",9
17562,41.78577,-73.731003,280,"Chrysemys","picta","painted turtle","Animalia",72787,356,"Individuals in water (rock/log)",2014,5,29,149,2456807,NA,"72787_Individuals in water (rock/log)","Adults observed","NY",2014-05-29,"calendar",149,2014,"72787_Individuals in water (rock/log)_2014",12
5260,42.454987,-72.345177,307,"Lithobates","clamitans","green frog","Animalia",12257,276,"Vocalizing",2015,5,27,147,2457170,NA,"12257_Vocalizing","Calls or songs","MA",2015-05-27,"calendar",147,2015,"12257_Vocalizing_2015",11
5260,42.454987,-72.345177,337,"Pseudacris","crucifer","spring peeper","Animalia",12258,276,"Vocalizing",2015,4,12,102,2457125,NA,"12258_Vocalizing","Calls or songs","MA",2015-04-12,"calendar",102,2015,"12258_Vocalizing_2015",12
5260,42.454987,-72.345177,346,"Lithobates","palustris","pickerel frog","Animalia",12259,276,"Vocalizing",2015,4,17,107,2457130,NA,"12259_Vocalizing","Calls or songs","MA",2015-04-17,"calendar",107,2015,"12259_Vocalizing_2015",11
5260,42.454987,-72.345177,348,"Lithobates","catesbeianus","American bullfrog","Animalia",12260,276,"Vocalizing",2015,5,11,131,2457154,NA,"12260_Vocalizing","Calls or songs","MA",2015-05-11,"calendar",131,2015,"12260_Vocalizing_2015",11
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,275,"Adults in water",2015,6,9,160,2457183,15,"17986_Adults in water","Adults observed","NY",2015-06-09,"calendar",160,2015,"17986_Adults in water_2015",10
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2015,6,9,160,2457183,15,"17986_Vocalizing","Calls or songs","NY",2015-06-09,"calendar",160,2015,"17986_Vocalizing_2015",15
8496,46.328629,-96.061256,421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2015,4,29,119,2457142,1,"25782_Individuals on land (rock/log)","Adults observed","MN",2015-04-29,"calendar",119,2015,"25782_Individuals on land (rock/log)_2015",14
8242,31.596231,-110.575493,423,"Aspidoscelis","tigris","western whiptail","Animalia",29644,355,"Individuals on land (rock/log)",2015,6,8,159,2457182,40,"29644_Individuals on land (rock/log)","Adults observed","AZ",2015-06-08,"calendar",159,2015,"29644_Individuals on land (rock/log)_2015",9
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,355,"Individuals on land (rock/log)",2015,1,21,21,2457044,NA,"29646_Individuals on land (rock/log)","Adults observed","AZ",2015-01-21,"calendar",21,2015,"29646_Individuals on land (rock/log)_2015",10
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,441,"Young individuals (hatched from eggs)",2015,4,29,119,2457142,16,"29646_Young individuals (hatched from eggs)","Young observed","AZ",2015-04-29,"calendar",119,2015,"29646_Young individuals (hatched from eggs)_2015",10
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,274,"Adults on land",2015,5,11,131,2457154,1,"38841_Adults on land","Adults observed","MI",2015-05-11,"calendar",131,2015,"38841_Adults on land_2015",12
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,276,"Vocalizing",2015,5,2,122,2457145,NA,"38841_Vocalizing","Calls or songs","MI",2015-05-02,"calendar",122,2015,"38841_Vocalizing_2015",13
10145,42.602543,-83.250992,307,"Lithobates","clamitans","green frog","Animalia",38902,274,"Adults on land",2015,5,17,137,2457160,NA,"38902_Adults on land","Adults observed","MI",2015-05-17,"calendar",137,2015,"38902_Adults on land_2015",9
10145,42.602543,-83.250992,280,"Chrysemys","picta","painted turtle","Animalia",38933,355,"Individuals on land (rock/log)",2015,4,12,102,2457125,NA,"38933_Individuals on land (rock/log)","Adults observed","MI",2015-04-12,"calendar",102,2015,"38933_Individuals on land (rock/log)_2015",9
10145,42.602543,-83.250992,280,"Chrysemys","picta","painted turtle","Animalia",38933,356,"Individuals in water (rock/log)",2015,5,3,123,2457146,1,"38933_Individuals in water (rock/log)","Adults observed","MI",2015-05-03,"calendar",123,2015,"38933_Individuals in water (rock/log)_2015",11
6081,34.0312,-118.811821,427,"Sceloporus","occidentalis","western fence lizard","Animalia",39781,355,"Individuals on land (rock/log)",2015,11,6,310,2457333,NA,"39781_Individuals on land (rock/log)","Adults observed","CA",2015-11-06,"calendar",310,2015,"39781_Individuals on land (rock/log)_2015",10
6092,34.115868,-118.758972,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40027,355,"Individuals on land (rock/log)",2015,2,4,35,2457058,NA,"40027_Individuals on land (rock/log)","Adults observed","CA",2015-02-04,"calendar",35,2015,"40027_Individuals on land (rock/log)_2015",12
6093,34.115894,-118.760101,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40042,355,"Individuals on land (rock/log)",2015,3,20,79,2457102,NA,"40042_Individuals on land (rock/log)","Adults observed","CA",2015-03-20,"calendar",79,2015,"40042_Individuals on land (rock/log)_2015",9
6094,34.116138,-118.760071,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40672,355,"Individuals on land (rock/log)",2015,1,16,16,2457039,NA,"40672_Individuals on land (rock/log)","Adults observed","CA",2015-01-16,"calendar",16,2015,"40672_Individuals on land (rock/log)_2015",9
6095,34.116432,-118.759659,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40687,355,"Individuals on land (rock/log)",2015,2,6,37,2457060,NA,"40687_Individuals on land (rock/log)","Adults observed","CA",2015-02-06,"calendar",37,2015,"40687_Individuals on land (rock/log)_2015",11
6097,34.116222,-118.758591,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40704,355,"Individuals on land (rock/log)",2015,3,20,79,2457102,NA,"40704_Individuals on land (rock/log)","Adults observed","CA",2015-03-20,"calendar",79,2015,"40704_Individuals on land (rock/log)_2015",10
6099,34.119007,-118.760071,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40734,355,"Individuals on land (rock/log)",2015,2,13,44,2457067,NA,"40734_Individuals on land (rock/log)","Adults observed","CA",2015-02-13,"calendar",44,2015,"40734_Individuals on land (rock/log)_2015",11
6151,34.039394,-118.814392,427,"Sceloporus","occidentalis","western fence lizard","Animalia",40984,355,"Individuals on land (rock/log)",2015,9,18,261,2457284,NA,"40984_Individuals on land (rock/log)","Adults observed","CA",2015-09-18,"calendar",261,2015,"40984_Individuals on land (rock/log)_2015",10
8496,46.328629,-96.061256,233,"Lithobates","pipiens","northern leopard frog","Animalia",42887,274,"Adults on land",2015,6,19,170,2457193,3,"42887_Adults on land","Adults observed","MN",2015-06-19,"calendar",170,2015,"42887_Adults on land_2015",10
16454,41.667408,-73.895546,337,"Pseudacris","crucifer","spring peeper","Animalia",64466,276,"Vocalizing",2015,4,3,93,2457116,NA,"64466_Vocalizing","Calls or songs","NY",2015-04-03,"calendar",93,2015,"64466_Vocalizing_2015",10
16454,41.667408,-73.895546,234,"Lithobates","sylvaticus","wood frog","Animalia",64467,276,"Vocalizing",2015,4,3,93,2457116,NA,"64467_Vocalizing","Calls or songs","NY",2015-04-03,"calendar",93,2015,"64467_Vocalizing_2015",10
17414,42.936153,-73.433449,230,"Anaxyrus","americanus","American toad","Animalia",66938,276,"Vocalizing",2015,4,30,120,2457143,2,"66938_Vocalizing","Calls or songs","NY",2015-04-30,"calendar",120,2015,"66938_Vocalizing_2015",9
17562,41.78577,-73.731003,280,"Chrysemys","picta","painted turtle","Animalia",72787,356,"Individuals in water (rock/log)",2015,4,27,117,2457140,3,"72787_Individuals in water (rock/log)","Adults observed","NY",2015-04-27,"calendar",117,2015,"72787_Individuals in water (rock/log)_2015",12
17414,42.936153,-73.433449,338,"Dryophytes","versicolor","gray treefrog","Animalia",86969,276,"Vocalizing",2015,5,6,126,2457149,3,"86969_Vocalizing","Calls or songs","NY",2015-05-06,"calendar",126,2015,"86969_Vocalizing_2015",11
20638,42.504253,-72.332031,337,"Pseudacris","crucifer","spring peeper","Animalia",87883,276,"Vocalizing",2015,4,14,104,2457127,NA,"87883_Vocalizing","Calls or songs","MA",2015-04-14,"calendar",104,2015,"87883_Vocalizing_2015",9
20641,42.448792,-72.346481,234,"Lithobates","sylvaticus","wood frog","Animalia",87896,276,"Vocalizing",2015,4,15,105,2457128,NA,"87896_Vocalizing","Calls or songs","MA",2015-04-15,"calendar",105,2015,"87896_Vocalizing_2015",10
20641,42.448792,-72.346481,337,"Pseudacris","crucifer","spring peeper","Animalia",87897,276,"Vocalizing",2015,4,13,103,2457126,NA,"87897_Vocalizing","Calls or songs","MA",2015-04-13,"calendar",103,2015,"87897_Vocalizing_2015",10
20789,43.899441,-69.95787,234,"Lithobates","sylvaticus","wood frog","Animalia",88640,276,"Vocalizing",2015,4,21,111,2457134,7,"88640_Vocalizing","Calls or songs","ME",2015-04-21,"calendar",111,2015,"88640_Vocalizing_2015",10
20641,42.448792,-72.346481,307,"Lithobates","clamitans","green frog","Animalia",91175,276,"Vocalizing",2015,6,7,158,2457181,NA,"91175_Vocalizing","Calls or songs","MA",2015-06-07,"calendar",158,2015,"91175_Vocalizing_2015",11
5260,42.454987,-72.345177,338,"Dryophytes","versicolor","gray treefrog","Animalia",91177,276,"Vocalizing",2015,5,6,126,2457149,NA,"91177_Vocalizing","Calls or songs","MA",2015-05-06,"calendar",126,2015,"91177_Vocalizing_2015",10
5262,42.442348,-72.346504,337,"Pseudacris","crucifer","spring peeper","Animalia",91207,276,"Vocalizing",2015,5,8,128,2457151,NA,"91207_Vocalizing","Calls or songs","MA",2015-05-08,"calendar",128,2015,"91207_Vocalizing_2015",9
21168,42.418087,-72.345901,307,"Lithobates","clamitans","green frog","Animalia",91214,276,"Vocalizing",2015,6,7,158,2457181,NA,"91214_Vocalizing","Calls or songs","MA",2015-06-07,"calendar",158,2015,"91214_Vocalizing_2015",11
16876,41.745537,-74.119392,337,"Pseudacris","crucifer","spring peeper","Animalia",103455,276,"Vocalizing",2015,3,15,74,2457097,NA,"103455_Vocalizing","Calls or songs","NY",2015-03-15,"calendar",74,2015,"103455_Vocalizing_2015",11
16876,41.745537,-74.119392,280,"Chrysemys","picta","painted turtle","Animalia",103457,355,"Individuals on land (rock/log)",2015,11,21,325,2457348,NA,"103457_Individuals on land (rock/log)","Adults observed","NY",2015-11-21,"calendar",325,2015,"103457_Individuals on land (rock/log)_2015",10
16876,41.745537,-74.119392,280,"Chrysemys","picta","painted turtle","Animalia",103457,356,"Individuals in water (rock/log)",2015,3,15,74,2457097,NA,"103457_Individuals in water (rock/log)","Adults observed","NY",2015-03-15,"calendar",74,2015,"103457_Individuals in water (rock/log)_2015",11
1447,42.176537,-85.892448,337,"Pseudacris","crucifer","spring peeper","Animalia",11253,276,"Vocalizing",2016,3,14,74,2457462,36,"11253_Vocalizing","Calls or songs","MI",2016-03-14,"calendar",74,2016,"11253_Vocalizing_2016",10
5260,42.454987,-72.345177,307,"Lithobates","clamitans","green frog","Animalia",12257,276,"Vocalizing",2016,7,14,196,2457584,NA,"12257_Vocalizing","Calls or songs","MA",2016-07-14,"calendar",196,2016,"12257_Vocalizing_2016",11
5260,42.454987,-72.345177,337,"Pseudacris","crucifer","spring peeper","Animalia",12258,276,"Vocalizing",2016,6,6,158,2457546,NA,"12258_Vocalizing","Calls or songs","MA",2016-06-06,"calendar",158,2016,"12258_Vocalizing_2016",12
5260,42.454987,-72.345177,348,"Lithobates","catesbeianus","American bullfrog","Animalia",12260,276,"Vocalizing",2016,6,6,158,2457546,NA,"12260_Vocalizing","Calls or songs","MA",2016-06-06,"calendar",158,2016,"12260_Vocalizing_2016",11
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,275,"Adults in water",2016,6,14,166,2457554,42,"17986_Adults in water","Adults observed","NY",2016-06-14,"calendar",166,2016,"17986_Adults in water_2016",10
6362,43.012966,-73.649918,307,"Lithobates","clamitans","green frog","Animalia",17986,276,"Vocalizing",2016,6,14,166,2457554,42,"17986_Vocalizing","Calls or songs","NY",2016-06-14,"calendar",166,2016,"17986_Vocalizing_2016",15
8496,46.328629,-96.061256,421,"Thamnophis","sirtalis","common gartersnake","Animalia",25782,355,"Individuals on land (rock/log)",2016,4,20,111,2457499,5,"25782_Individuals on land (rock/log)","Adults observed","MN",2016-04-20,"calendar",111,2016,"25782_Individuals on land (rock/log)_2016",14
8242,31.596231,-110.575493,423,"Aspidoscelis","tigris","western whiptail","Animalia",29644,355,"Individuals on land (rock/log)",2016,5,24,145,2457533,38,"29644_Individuals on land (rock/log)","Adults observed","AZ",2016-05-24,"calendar",145,2016,"29644_Individuals on land (rock/log)_2016",9
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,355,"Individuals on land (rock/log)",2016,3,23,83,2457471,40,"29646_Individuals on land (rock/log)","Adults observed","AZ",2016-03-23,"calendar",83,2016,"29646_Individuals on land (rock/log)_2016",10
8242,31.596231,-110.575493,427,"Sceloporus","occidentalis","western fence lizard","Animalia",29646,441,"Young individuals (hatched from eggs)",2016,5,24,145,2457533,38,"29646_Young individuals (hatched from eggs)","Young observed","AZ",2016-05-24,"calendar",145,2016,"29646_Young individuals (hatched from eggs)_2016",10
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,274,"Adults on land",2016,9,19,263,2457651,60,"38841_Adults on land","Adults observed","MI",2016-09-19,"calendar",263,2016,"38841_Adults on land_2016",12
10145,42.602543,-83.250992,230,"Anaxyrus","americanus","American toad","Animalia",38841,276,"Vocalizing",2016,5,5,126,2457514,NA,"38841_Vocalizing","Calls or songs","MI",2016-05-05,"calendar",126,2016,"38841_Vocalizing_2016",13
10145,42.602543,-83.250992,307,"Lithobates","clamitans","green frog","Animalia",38902,274,"Adults on land",2016,4,16,107,2457495,NA,"38902_Adults on land","Adults observed","MI",2016-04-16,"calendar",107,2016,"38902_Adults on land_2016",9
